obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('19',)",33.1604003906,1,0,1029.51807554,29,29,2,3.31604003906,29,13,3724598986.37,3724598986.43,3659558659.2,44.36829,-124.9528,0.0,34.1385736397,29,29,internal_timestamp,551.630004883,29,29,202775,1450569859,5.228099823,29,29,3659558659.2
"('20',)",33.1636009216,1,0,1029.51228826,29,29,2,3.31636009216,29,13,3724598986.37,3724598986.43,3659558670.2,44.36829,-124.9528,0.0,34.1377480758,29,29,internal_timestamp,550.650024414,29,29,199186,1450569870,5.23299980164,29,29,3659558670.2
"('21',)",33.1698989868,1,0,1029.50547251,29,29,2,3.31698989868,29,13,3724598986.37,3724598986.43,3659558681.21,44.36829,-124.9528,0.0,34.1367524949,29,29,internal_timestamp,549.58001709,29,29,207535,1450569881,5.24160003662,29,29,3659558681.21
"('22',)",33.1713981628,1,0,1029.49967362,29,29,2,3.31713981628,29,13,3724598986.37,3724598986.43,3659558692.2,44.36829,-124.9528,0.0,34.1370656879,29,29,internal_timestamp,548.320007324,29,29,201992,1450569892,5.24359989166,29,29,3659558692.2
"('23',)",33.1791000366,1,0,1029.49057612,29,29,2,3.31791000366,29,13,3724598986.37,3724598986.43,3659558703.21,44.36829,-124.9528,0.0,34.1347194122,29,29,internal_timestamp,547.070007324,29,29,207269,1450569903,5.25519990921,29,29,3659558703.21
"('24',)",33.1828994751,1,0,1029.48409728,29,29,2,3.31828994751,29,13,3724598986.37,3724598986.46,3659558714.21,44.36829,-124.9528,0.0,34.1340487599,29,29,internal_timestamp,545.929992676,29,29,212471,1450569914,5.26070022583,29,29,3659558714.21
"('25',)",33.1867980957,1,0,1029.47777406,29,29,2,3.31867980957,29,13,3724598986.37,3724598986.46,3659558725.21,44.36829,-124.9528,0.0,34.1332591411,29,29,internal_timestamp,544.849975586,29,29,209153,1450569925,5.26639986038,29,29,3659558725.21
"('26',)",33.1908988953,1,0,1029.47148232,29,29,2,3.31908988953,29,13,3724598986.37,3724598986.46,3659558736.21,44.36829,-124.9528,0.0,34.1329425775,29,29,internal_timestamp,543.690002441,29,29,208676,1450569936,5.271900177,29,29,3659558736.21
"('27',)",33.2001991272,1,0,1029.46169228,29,29,2,3.32001991272,29,13,3724598986.37,3724598986.46,3659558747.21,44.36829,-124.9528,0.0,34.1302003061,29,29,internal_timestamp,542.41998291,29,29,212869,1450569947,5.28569984436,29,29,3659558747.21
"('28',)",33.207901001,1,0,1029.45307456,29,29,2,3.3207901001,29,13,3724598986.37,3724598986.46,3659558758.21,44.36829,-124.9528,0.0,34.1285837191,29,29,internal_timestamp,541.130004883,29,29,206950,1450569958,5.29659986496,29,29,3659558758.21
"('29',)",33.2235984802,1,0,1029.44258305,29,29,2,3.32235984802,29,13,3724598986.37,3724598986.47,3659558769.21,44.36829,-124.9528,0.0,34.1251395429,29,29,internal_timestamp,540.049987793,29,29,213900,1450569969,5.31820011139,29,29,3659558769.21
"('30',)",33.2444000244,1,0,1029.43081126,29,29,2,3.32444000244,29,13,3724598986.37,3724598986.47,3659558780.21,44.36829,-124.9528,0.0,34.121021439,29,29,internal_timestamp,538.989990234,29,29,209619,1450569980,5.34619998932,29,29,3659558780.21
"('31',)",33.2616004944,1,0,1029.42025321,29,29,2,3.32616004944,29,13,3724598986.37,3724598986.47,3659558791.22,44.36829,-124.9528,0.0,34.1186692131,29,29,internal_timestamp,537.729980469,29,29,216440,1450569991,5.3685002327,29,29,3659558791.22
"('32',)",33.2663002014,1,0,1029.41396098,29,29,2,3.32663002014,29,13,3724598986.37,3724598986.47,3659558802.21,44.36829,-124.9528,0.0,34.1181979468,29,29,internal_timestamp,536.619995117,29,29,211579,1450570002,5.37480020523,29,29,3659558802.21
"('33',)",33.2803001404,1,0,1029.40364403,29,29,2,3.32803001404,29,13,3724598986.37,3724598986.47,3659558813.22,44.36829,-124.9528,0.0,34.1146344804,29,29,internal_timestamp,535.549987793,29,29,218120,1450570013,5.39459991455,29,29,3659558813.22
"('34',)",33.2789993286,1,0,1029.39995329,29,29,2,3.32789993286,29,13,3724598986.37,3724598986.47,3659558824.21,44.36829,-124.9528,0.0,34.1160331584,29,29,internal_timestamp,534.440002441,29,29,214339,1450570024,5.39230012894,29,29,3659558824.21
"('35',)",33.2801017761,1,0,1029.39600841,29,29,2,3.32801017761,29,13,3724598986.37,3724598986.47,3659558835.22,44.36829,-124.9528,0.0,34.1165272813,29,29,internal_timestamp,533.530029297,29,29,220323,1450570035,5.39349985123,29,29,3659558835.22
"('36',)",33.2817001343,1,0,1029.3917226,29,29,2,3.32817001343,29,13,3724598986.37,3724598986.47,3659558846.23,44.36829,-124.9528,0.0,34.1167807995,29,29,internal_timestamp,532.609985352,29,29,226289,1450570046,5.39550018311,29,29,3659558846.23
"('37',)",33.2821006775,1,0,1029.38562239,29,29,2,3.32821006775,29,13,3724598986.37,3724598986.47,3659558857.22,44.36829,-124.9528,0.0,34.1154218471,29,29,internal_timestamp,531.58001709,29,29,220628,1450570057,5.39779996872,29,29,3659558857.22
"('38',)",33.2857017517,1,0,1029.38043428,29,29,2,3.32857017517,29,13,3724598986.37,3724598986.47,3659558868.22,44.36829,-124.9528,0.0,34.1154708284,29,29,internal_timestamp,530.570007324,29,29,216428,1450570068,5.40229988098,29,29,3659558868.22
"('39',)",33.2911987305,1,0,1029.37377118,29,29,2,3.32911987305,29,13,3724598986.37,3724598986.47,3659558879.22,44.36829,-124.9528,0.0,34.1140150522,29,29,internal_timestamp,529.599975586,29,29,224663,1450570079,5.41039991379,29,29,3659558879.22
"('40',)",33.2933006287,1,0,1029.36921204,29,29,2,3.32933006287,29,13,3724598986.37,3724598986.47,3659558890.22,44.36829,-124.9528,0.0,34.114254437,29,29,internal_timestamp,528.640014648,29,29,223651,1450570090,5.41300010681,29,29,3659558890.22
"('41',)",33.2956008911,1,0,1029.36390194,29,29,2,3.32956008911,29,13,3724598986.37,3724598986.47,3659558901.22,44.36829,-124.9528,0.0,34.1137078271,29,29,internal_timestamp,527.679992676,29,29,222668,1450570101,5.41660022736,29,29,3659558901.22
"('42',)",33.2958984375,1,0,1029.35893435,29,29,2,3.32958984375,29,13,3724598986.37,3724598986.47,3659558912.23,44.36829,-124.9528,0.0,34.1137698608,29,29,internal_timestamp,526.609985352,29,29,230365,1450570112,5.41739988327,29,29,3659558912.23
"('43',)",33.2971992493,1,0,1029.35355712,29,29,2,3.32971992493,29,13,3724598986.37,3724598986.47,3659558923.23,44.36829,-124.9528,0.0,34.1134455999,29,29,internal_timestamp,525.559997559,29,29,226345,1450570123,5.41970014572,29,29,3659558923.23
"('44',)",33.2989997864,1,0,1029.34790336,29,29,2,3.32989997864,29,13,3724598986.37,3724598986.47,3659558934.23,44.36829,-124.9528,0.0,34.1131036141,29,29,internal_timestamp,524.469970703,29,29,231405,1450570134,5.42259979248,29,29,3659558934.23
"('45',)",33.2991981506,1,0,1029.34177035,29,29,2,3.32991981506,29,13,3724598986.37,3724598986.47,3659558945.23,44.36829,-124.9528,0.0,34.112843422,29,29,internal_timestamp,523.210021973,29,29,226597,1450570145,5.4236998558,29,29,3659558945.23
"('46',)",33.2999992371,1,0,1029.33518272,29,29,2,3.32999992371,29,13,3724598986.37,3724598986.47,3659558956.23,44.36829,-124.9528,0.0,34.1124896186,29,29,internal_timestamp,521.890014648,29,29,231976,1450570156,5.42560005188,29,29,3659558956.23
