obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('21',)",3.6142001152,29,13,1026.26747993,29,13,4,3716294556.31,3716294610.35,3692505528.0,44.6389,-124.2990333,0.0,internal_timestamp,69.4110031128,29,13,1483516728.0,33.5780982971,29,29,0,9.35659980774,29,29,3692505528.0
"('22',)",3.6142001152,29,13,1026.26755843,29,13,4,3716294556.31,3716294610.35,3692505528.07,44.6389,-124.2990333,0.0,internal_timestamp,69.4069976807,29,13,1483516728.07,33.5782012939,29,29,0,9.35649967194,29,29,3692505528.07
"('23',)",3.6142001152,29,13,1026.26757926,29,13,4,3716294556.31,3716294610.35,3692505528.13,44.6389,-124.2990333,0.0,internal_timestamp,69.4079971313,29,13,1483516728.13,33.5782012939,29,29,0,9.35639953613,29,29,3692505528.13
"('24',)",3.61418008804,29,13,1026.26751703,29,13,4,3716294556.31,3716294610.35,3692505528.19,44.6389,-124.2990333,0.0,internal_timestamp,69.4120025635,29,13,1483516728.19,33.5780982971,29,29,0,9.35639953613,29,29,3692505528.19
"('25',)",3.61419010162,29,13,1026.26741869,29,13,4,3716294556.31,3716294610.35,3692505528.25,44.6389,-124.2990333,0.0,internal_timestamp,69.4110031128,29,13,1483516728.25,33.577999115,29,29,0,9.35649967194,29,29,3692505528.25
"('26',)",3.61419010162,29,13,1026.26743692,29,13,4,3716294556.31,3716294610.35,3692505528.32,44.6389,-124.2990333,0.0,internal_timestamp,69.4150009155,29,13,1483516728.32,33.577999115,29,29,0,9.35649967194,29,29,3692505528.32
"('27',)",3.6142001152,29,13,1026.26751899,29,13,4,3716294556.31,3716294610.35,3692505528.38,44.6389,-124.2990333,0.0,internal_timestamp,69.4160003662,29,13,1483516728.38,33.5780982971,29,29,0,9.35649967194,29,29,3692505528.38
"('28',)",3.6142001152,29,13,1026.26760663,29,13,4,3716294556.31,3716294610.36,3692505528.44,44.6389,-124.2990333,0.0,internal_timestamp,69.4140014648,29,13,1483516728.44,33.5782012939,29,29,0,9.35639953613,29,29,3692505528.44
"('29',)",3.61420989037,29,13,1026.26768415,29,13,4,3716294556.31,3716294610.36,3692505528.5,44.6389,-124.2990333,0.0,internal_timestamp,69.4140014648,29,13,1483516728.5,33.5783004761,29,29,0,9.35639953613,29,29,3692505528.5
"('30',)",3.6142001152,29,13,1026.26761119,29,13,4,3716294556.31,3716294610.36,3692505528.57,44.6389,-124.2990333,0.0,internal_timestamp,69.4150009155,29,13,1483516728.57,33.5782012939,29,29,0,9.35639953613,29,29,3692505528.57
"('31',)",3.61419010162,29,13,1026.26752614,29,13,4,3716294556.31,3716294610.36,3692505528.63,44.6389,-124.2990333,0.0,internal_timestamp,69.4140014648,29,13,1483516728.63,33.5780982971,29,29,0,9.35639953613,29,29,3692505528.63
"('32',)",3.61418008804,29,13,1026.26745319,29,13,4,3716294556.31,3716294610.36,3692505528.69,44.6389,-124.2990333,0.0,internal_timestamp,69.4150009155,29,13,1483516728.69,33.577999115,29,29,0,9.35639953613,29,29,3692505528.69
"('33',)",3.61417007446,29,13,1026.26755852,29,13,4,3716294556.31,3716294610.36,3692505528.75,44.6389,-124.2990333,0.0,internal_timestamp,69.4140014648,29,13,1483516728.75,33.5780982971,29,29,0,9.3562002182,29,29,3692505528.75
"('34',)",3.61417007446,29,13,1026.26765984,29,13,4,3716294556.31,3716294610.36,3692505528.82,44.6389,-124.2990333,0.0,internal_timestamp,69.4150009155,29,13,1483516728.82,33.5782012939,29,29,0,9.3561000824,29,29,3692505528.82
"('35',)",3.61418008804,29,13,1026.26784936,29,13,4,3716294556.31,3716294610.36,3692505528.88,44.6389,-124.2990333,0.0,internal_timestamp,69.4189987183,29,13,1483516728.88,33.5783996582,29,29,0,9.35599994659,29,29,3692505528.88
"('36',)",3.61418008804,29,13,1026.2679132,29,13,4,3716294556.31,3716294610.36,3692505528.94,44.6389,-124.2990333,0.0,internal_timestamp,69.4160003662,29,13,1483516728.94,33.5784988403,29,29,0,9.35599994659,29,29,3692505528.94
"('37',)",3.61417007446,29,13,1026.26775818,29,13,4,3716294556.31,3716294610.36,3692505529.0,44.6389,-124.2990333,0.0,internal_timestamp,69.4160003662,29,13,1483516729.0,33.5783004761,29,29,0,9.35599994659,29,29,3692505529.0
"('38',)",3.6141500473,29,13,1026.26770605,29,13,4,3716294556.31,3716294610.36,3692505529.07,44.6389,-124.2990333,0.0,internal_timestamp,69.4179992676,29,13,1483516729.07,33.5782012939,29,29,0,9.35589981079,29,29,3692505529.07
"('39',)",3.61413002014,29,13,1026.26754348,29,13,4,3716294556.31,3716294610.36,3692505529.13,44.6389,-124.2990333,0.0,internal_timestamp,69.4169998169,29,13,1483516729.13,33.577999115,29,29,0,9.35589981079,29,29,3692505529.13
"('40',)",3.61413002014,29,13,1026.26756431,29,13,4,3716294556.31,3716294610.36,3692505529.19,44.6389,-124.2990333,0.0,internal_timestamp,69.4179992676,29,13,1483516729.19,33.577999115,29,29,0,9.35579967499,29,29,3692505529.19
"('41',)",3.61412000656,29,13,1026.26764442,29,13,4,3716294556.31,3716294610.36,3692505529.25,44.6389,-124.2990333,0.0,internal_timestamp,69.4150009155,29,13,1483516729.25,33.5780982971,29,29,0,9.35569953918,29,29,3692505529.25
"('42',)",3.61412000656,29,13,1026.26784848,29,13,4,3716294556.31,3716294610.36,3692505529.32,44.6389,-124.2990333,0.0,internal_timestamp,69.4179992676,29,13,1483516729.32,33.5783004761,29,29,0,9.35550022125,29,29,3692505529.32
"('43',)",3.61412000656,29,13,1026.26793314,29,13,4,3716294556.31,3716294610.36,3692505529.38,44.6389,-124.2990333,0.0,internal_timestamp,69.4160003662,29,13,1483516729.38,33.5783996582,29,29,0,9.35540008545,29,29,3692505529.38
"('44',)",3.61412000656,29,13,1026.2680523,29,13,4,3716294556.31,3716294610.36,3692505529.44,44.6389,-124.2990333,0.0,internal_timestamp,69.4179992676,29,13,1483516729.44,33.5784988403,29,29,0,9.35519981384,29,29,3692505529.44
"('45',)",3.61410999298,29,13,1026.26807768,29,13,4,3716294556.31,3716294610.36,3692505529.5,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516729.5,33.5784988403,29,29,0,9.35509967804,29,29,3692505529.5
"('46',)",3.61410999298,29,13,1026.26807768,29,13,4,3716294556.31,3716294610.36,3692505529.57,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516729.57,33.5784988403,29,29,0,9.35509967804,29,29,3692505529.57
"('47',)",3.61410999298,29,13,1026.26814451,29,13,4,3716294556.31,3716294610.36,3692505529.63,44.6389,-124.2990333,0.0,internal_timestamp,69.4169998169,29,13,1483516729.63,33.5786018372,29,29,0,9.35509967804,29,29,3692505529.63
"('48',)",3.61410999298,29,13,1026.26807313,29,13,4,3716294556.31,3716294610.36,3692505529.69,44.6389,-124.2990333,0.0,internal_timestamp,69.4189987183,29,13,1483516729.69,33.5784988403,29,29,0,9.35509967804,29,29,3692505529.69
"('49',)",3.61410999298,29,13,1026.26806401,29,13,4,3716294556.31,3716294610.36,3692505529.75,44.6389,-124.2990333,0.0,internal_timestamp,69.4169998169,29,13,1483516729.75,33.5784988403,29,29,0,9.35509967804,29,29,3692505529.75
"('50',)",3.6140999794,29,13,1026.26799562,29,13,4,3716294556.31,3716294610.36,3692505529.82,44.6389,-124.2990333,0.0,internal_timestamp,69.4189987183,29,13,1483516729.82,33.5783996582,29,29,0,9.35509967804,29,29,3692505529.82
"('51',)",3.6140999794,29,13,1026.26800929,29,13,4,3716294556.31,3716294610.36,3692505529.88,44.6389,-124.2990333,0.0,internal_timestamp,69.4219970703,29,13,1483516729.88,33.5783996582,29,29,0,9.35509967804,29,29,3692505529.88
