obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3772684226.68,14,3.49905991554,3779218470.44,3779218541.73,3772684226.68,0.0,internal_timestamp,65.2509994507,1563695426.68,33.8692016602,1,7.78259992599,1026.71957156,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3772684226.74,14,3.49909996986,3779218470.46,3779218541.73,3772684226.74,0.0,internal_timestamp,65.2529983521,1563695426.74,33.8695983887,0,7.78259992599,1026.71989227,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3772684226.81,14,3.49892997742,3779218470.46,3779218541.73,3772684226.81,0.0,internal_timestamp,65.2539978027,1563695426.81,33.8678016663,0,7.7827000618,1026.71847135,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3772684226.87,14,3.49905991554,3779218470.46,3779218541.73,3772684226.87,0.0,internal_timestamp,65.2509994507,1563695426.87,33.8690986633,0,7.78259992599,1026.71949069,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3772684226.93,14,3.49909996986,3779218470.46,3779218541.73,3772684226.93,0.0,internal_timestamp,65.2529983521,1563695426.93,33.8695983887,0,7.7827000618,1026.71987762,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3772684226.99,14,3.49834990501,3779218470.46,3779218541.73,3772684226.99,0.0,internal_timestamp,65.2559967041,1563695426.99,33.8616981506,0,7.78249979019,1026.7137171,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3772684227.06,14,3.49839997292,3779218470.46,3779218541.73,3772684227.06,0.0,internal_timestamp,65.2590026855,1563695427.06,33.8620986938,0,7.78259992599,1026.71403077,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3772684227.12,14,3.49884009361,3779218470.46,3779218541.73,3772684227.12,0.0,internal_timestamp,65.2539978027,1563695427.12,33.8667984009,0,7.78259992599,1026.71769819,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3772684227.18,14,3.49866008759,3779218470.46,3779218541.73,3772684227.18,0.0,internal_timestamp,65.2610015869,1563695427.18,33.8648986816,0,7.78259992599,1026.71623861,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3772684227.24,14,3.49849009514,3779218470.46,3779218541.73,3772684227.24,0.0,internal_timestamp,65.2570037842,1563695427.24,33.8630981445,0,7.78259992599,1026.7148064,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('10',)",3772684227.31,14,3.49839997292,3779218470.46,3779218541.73,3772684227.31,0.0,internal_timestamp,65.2559967041,1563695427.31,33.8620986938,0,7.78259992599,1026.71401697,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('11',)",3772684227.37,14,3.49836993217,3779218470.46,3779218541.73,3772684227.37,0.0,internal_timestamp,65.2590026855,1563695427.37,33.8616981506,0,7.7827000618,1026.7137016,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('12',)",3772684227.43,14,3.49836993217,3779218470.46,3779218541.73,3772684227.43,0.0,internal_timestamp,65.2630004883,1563695427.43,33.8616981506,0,7.7827000618,1026.71371995,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('13',)",3772684227.49,14,3.49835991859,3779218470.46,3779218541.74,3772684227.49,0.0,internal_timestamp,65.263999939,1563695427.49,33.8614997864,0,7.7827000618,1026.71356878,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('14',)",3772684227.56,14,3.49834990501,3779218470.46,3779218541.74,3772684227.56,0.0,internal_timestamp,65.2620010376,1563695427.56,33.8614006042,0,7.7827000618,1026.71348172,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('15',)",3772684227.62,14,3.49835991859,3779218470.46,3779218541.74,3772684227.62,0.0,internal_timestamp,65.2679977417,1563695427.62,33.8614997864,0,7.7828001976,1026.71357248,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('16',)",3772684227.68,14,3.49836993217,3779218470.46,3779218541.74,3772684227.68,0.0,internal_timestamp,65.2699966431,1563695427.68,33.8616981506,0,7.7828001976,1026.71373742,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('17',)",3772684227.74,14,3.49838995934,3779218470.46,3779218541.74,3772684227.74,0.0,internal_timestamp,65.2689971924,1563695427.74,33.8619003296,0,7.7828001976,1026.71389159,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('18',)",3772684227.81,14,3.49838995934,3779218470.46,3779218541.74,3772684227.81,0.0,internal_timestamp,65.2689971924,1563695427.81,33.8618011475,0,7.7828001976,1026.7138137,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('19',)",3772684227.87,14,3.49836993217,3779218470.46,3779218541.74,3772684227.87,0.0,internal_timestamp,65.2699966431,1563695427.87,33.8615989685,0,7.7828001976,1026.71365953,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('20',)",3772684227.93,14,3.49835991859,3779218470.46,3779218541.74,3772684227.93,0.0,internal_timestamp,65.2710037231,1563695427.93,33.8614997864,0,7.7828001976,1026.71358627,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('21',)",3772684227.99,14,3.49835991859,3779218470.46,3779218541.74,3772684227.99,0.0,internal_timestamp,65.2720031738,1563695427.99,33.8614006042,0,7.78289985657,1026.7134984,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('22',)",3772684228.06,14,3.49835991859,3779218470.46,3779218541.74,3772684228.06,0.0,internal_timestamp,65.2740020752,1563695428.06,33.8613014221,0,7.78299999237,1026.71341504,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('23',)",3772684228.12,14,3.49835991859,3779218470.46,3779218541.74,3772684228.12,0.0,internal_timestamp,65.2760009766,1563695428.12,33.8613014221,0,7.78299999237,1026.71342422,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('24',)",3772684228.18,14,3.49835991859,3779218470.46,3779218541.74,3772684228.18,0.0,internal_timestamp,65.2770004272,1563695428.18,33.8611984253,0,7.78310012817,1026.71333328,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('25',)",3772684229.17,14,3.49835991859,3779218470.46,3779218541.74,3772684229.17,0.0,internal_timestamp,65.2779998779,1563695429.17,33.8611984253,0,7.78299999237,1026.71335252,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('26',)",3772684229.2,14,3.49836993217,3779218470.46,3779218541.77,3772684229.2,0.0,internal_timestamp,65.28099823,1563695429.2,33.8614006042,0,7.78299999237,1026.71352504,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('27',)",3772684229.21,14,3.49837994576,3779218470.46,3779218541.77,3772684229.21,0.0,internal_timestamp,65.2789993286,1563695429.21,33.8614997864,0,7.78299999237,1026.71359375,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('28',)",3772684229.22,14,3.49838995934,3779218470.46,3779218541.77,3772684229.22,0.0,internal_timestamp,65.2779998779,1563695429.22,33.8614997864,0,7.78299999237,1026.71358916,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('29',)",3772684229.22,14,3.49837994576,3779218470.46,3779218541.77,3772684229.22,0.0,internal_timestamp,65.2779998779,1563695429.22,33.8614997864,0,7.78299999237,1026.71358916,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('30',)",3772684229.23,14,3.49836993217,3779218470.46,3779218541.78,3772684229.23,0.0,internal_timestamp,65.283996582,1563695429.23,33.8614006042,0,7.78299999237,1026.7135388,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('31',)",3772684229.24,14,3.49836993217,3779218470.46,3779218541.78,3772684229.24,0.0,internal_timestamp,65.2850036621,1563695429.24,33.8614006042,0,7.78289985657,1026.71355808,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('32',)",3772684229.25,14,3.49836993217,3779218470.46,3779218541.78,3772684229.25,0.0,internal_timestamp,65.283996582,1563695429.25,33.8614997864,0,7.78289985657,1026.71363134,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('33',)",3772684229.26,14,3.49837994576,3779218470.46,3779218541.78,3772684229.26,0.0,internal_timestamp,65.2860031128,1563695429.26,33.8615989685,0,7.78289985657,1026.71371843,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('34',)",3772684229.27,14,3.49838995934,3779218470.46,3779218541.78,3772684229.27,0.0,internal_timestamp,65.2870025635,1563695429.27,33.8616981506,0,7.78289985657,1026.7138009,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('35',)",3772684229.27,14,3.49838995934,3779218470.46,3779218541.78,3772684229.27,0.0,internal_timestamp,65.2900009155,1563695429.27,33.8618011475,0,7.7828001976,1026.71391012,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('36',)",3772684229.29,14,3.49839997292,3779218470.46,3779218541.78,3772684229.29,0.0,internal_timestamp,65.2910003662,1563695429.29,33.8619003296,0,7.7828001976,1026.71399259,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('37',)",3772684229.3,14,3.49839997292,3779218470.46,3779218541.78,3772684229.3,0.0,internal_timestamp,65.2929992676,1563695429.3,33.8619003296,0,7.7828001976,1026.71400176,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('38',)",3772684229.31,14,3.49839997292,3779218470.46,3779218541.78,3772684229.31,0.0,internal_timestamp,65.2919998169,1563695429.31,33.8619003296,0,7.7828001976,1026.71399717,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('39',)",3772684229.32,14,3.49839997292,3779218470.46,3779218541.78,3772684229.32,0.0,internal_timestamp,65.2939987183,1563695429.32,33.8619003296,0,7.7828001976,1026.71400635,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('40',)",3772684229.32,14,3.49838995934,3779218470.46,3779218541.78,3772684229.32,0.0,internal_timestamp,65.2969970703,1563695429.33,33.8618011475,0,7.7828001976,1026.71394223,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('41',)",3772684229.33,14,3.49838995934,3779218470.46,3779218541.78,3772684229.33,0.0,internal_timestamp,65.2959976196,1563695429.33,33.8616981506,0,7.7828001976,1026.71385677,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('42',)",3772684229.34,14,3.49838995934,3779218470.46,3779218541.78,3772684229.34,0.0,internal_timestamp,65.2959976196,1563695429.34,33.8618011475,0,7.7828001976,1026.71393764,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('43',)",3772684229.37,14,3.49838995934,3779218470.46,3779218541.78,3772684229.37,0.0,internal_timestamp,65.2990036011,1563695429.37,33.8619003296,0,7.7828001976,1026.71402932,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('44',)",3772684229.43,14,3.49837994576,3779218470.46,3779218541.78,3772684229.43,0.0,internal_timestamp,65.3000030518,1563695429.43,33.8616981506,0,7.7828001976,1026.71387515,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('45',)",3772684229.49,14,3.49836993217,3779218470.46,3779218541.78,3772684229.49,0.0,internal_timestamp,65.3010025024,1563695429.49,33.8614997864,0,7.7828001976,1026.71372398,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('46',)",3772684229.56,14,3.49834990501,3779218470.46,3779218541.78,3772684229.56,0.0,internal_timestamp,65.3010025024,1563695429.56,33.8613014221,0,7.78289985657,1026.71355363,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('47',)",3772684229.62,14,3.49834990501,3779218470.46,3779218541.78,3772684229.62,0.0,internal_timestamp,65.3040008545,1563695429.62,33.8613014221,0,7.7828001976,1026.71358198,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('48',)",3772684229.68,14,3.49834990501,3779218470.46,3779218541.78,3772684229.68,0.0,internal_timestamp,65.3030014038,1563695429.68,33.8614006042,0,7.7827000618,1026.71366992,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('49',)",3772684229.75,14,3.49833989143,3779218470.46,3779218541.78,3772684229.75,0.0,internal_timestamp,65.3040008545,1563695429.75,33.8614006042,0,7.7827000618,1026.71367451,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('50',)",3772684229.81,14,3.49833989143,3779218470.46,3779218541.78,3772684229.81,0.0,internal_timestamp,65.3040008545,1563695429.81,33.8614006042,0,7.78259992599,1026.71368916,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('51',)",3772684229.87,14,3.49833011627,3779218470.46,3779218541.78,3772684229.87,0.0,internal_timestamp,65.3069992065,1563695429.87,33.8614006042,0,7.78259992599,1026.71370292,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('52',)",3772684229.93,14,3.49833989143,3779218470.46,3779218541.78,3772684229.93,0.0,internal_timestamp,65.3079986572,1563695429.93,33.8614997864,0,7.78259992599,1026.71378539,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('53',)",3772684229.99,14,3.49834990501,3779218470.46,3779218541.78,3772684229.99,0.0,internal_timestamp,65.3069992065,1563695429.99,33.8615989685,0,7.78259992599,1026.71385869,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('54',)",3772684230.06,14,3.49835991859,3779218470.46,3779218541.78,3772684230.06,0.0,internal_timestamp,65.3050003052,1563695430.06,33.8616981506,0,7.78249979019,1026.71394204,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('55',)",3772684230.12,14,3.49835991859,3779218470.46,3779218541.78,3772684230.12,0.0,internal_timestamp,65.3050003052,1563695430.12,33.8616981506,0,7.78249979019,1026.71394204,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('56',)",3772684230.18,14,3.49835991859,3779218470.46,3779218541.78,3772684230.18,0.0,internal_timestamp,65.3089981079,1563695430.18,33.8616981506,0,7.78259992599,1026.71394574,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('57',)",3772684230.24,14,3.49835991859,3779218470.46,3779218541.78,3772684230.24,0.0,internal_timestamp,65.31199646,1563695430.24,33.8616981506,0,7.78259992599,1026.71395951,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('58',)",3772684230.31,14,3.49835991859,3779218470.46,3779218541.78,3772684230.31,0.0,internal_timestamp,65.3109970093,1563695430.31,33.8615989685,0,7.78259992599,1026.71387704,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('59',)",3772684230.37,14,3.49834990501,3779218470.46,3779218541.78,3772684230.37,0.0,internal_timestamp,65.3109970093,1563695430.37,33.8614997864,0,7.7827000618,1026.71378451,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('60',)",3772684230.43,14,3.49833989143,3779218470.46,3779218541.78,3772684230.43,0.0,internal_timestamp,65.3099975586,1563695430.43,33.8614006042,0,7.7827000618,1026.71370204,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('61',)",3772684230.5,14,3.49833011627,3779218470.46,3779218541.78,3772684230.5,0.0,internal_timestamp,65.3109970093,1563695430.5,33.8611984253,0,7.7827000618,1026.71354786,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('62',)",3772684230.56,14,3.49832010269,3779218470.46,3779218541.79,3772684230.56,0.0,internal_timestamp,65.3109970093,1563695430.56,33.8610992432,0,7.7828001976,1026.71345533,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('63',)",3772684230.62,14,3.49833011627,3779218470.46,3779218541.79,3772684230.62,0.0,internal_timestamp,65.31199646,1563695430.62,33.8610992432,0,7.78289985657,1026.71344534,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('64',)",3772684230.68,14,3.49833989143,3779218470.46,3779218541.79,3772684230.68,0.0,internal_timestamp,65.3069992065,1563695430.68,33.8610992432,0,7.78299999237,1026.71340775,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('65',)",3772684230.74,14,3.49834990501,3779218470.46,3779218541.79,3772684230.74,0.0,internal_timestamp,65.3059997559,1563695430.74,33.8610992432,0,7.78310012817,1026.71338851,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('66',)",3772684230.81,14,3.49835991859,3779218470.46,3779218541.79,3772684230.81,0.0,internal_timestamp,65.3099975586,1563695430.81,33.8610992432,0,7.78319978714,1026.71339228,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('67',)",3772684230.87,14,3.49836993217,3779218470.46,3779218541.79,3772684230.87,0.0,internal_timestamp,65.3140029907,1563695430.87,33.8611984253,0,7.78319978714,1026.71348855,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('68',)",3772684230.93,14,3.49836993217,3779218470.46,3779218541.79,3772684230.93,0.0,internal_timestamp,65.3140029907,1563695430.93,33.8610992432,0,7.78319978714,1026.71341067,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('69',)",3772684231.0,14,3.49835991859,3779218470.46,3779218541.79,3772684231.0,0.0,internal_timestamp,65.3099975586,1563695431.0,33.8611984253,0,7.78310012817,1026.71348475,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('70',)",3772684231.06,14,3.49835991859,3779218470.46,3779218541.79,3772684231.06,0.0,internal_timestamp,65.3099975586,1563695431.06,33.8613014221,0,7.78299999237,1026.71358027,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('71',)",3772684231.12,14,3.49835991859,3779218470.46,3779218541.79,3772684231.12,0.0,internal_timestamp,65.3109970093,1563695431.12,33.8613014221,0,7.78299999237,1026.71358486,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('72',)",3772684231.18,14,3.49835991859,3779218470.46,3779218541.79,3772684231.18,0.0,internal_timestamp,65.31300354,1563695431.18,33.8613014221,0,7.78299999237,1026.71359407,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('73',)",3772684231.25,14,3.49835991859,3779218470.46,3779218541.79,3772684231.25,0.0,internal_timestamp,65.3109970093,1563695431.25,33.8613014221,0,7.78299999237,1026.71358486,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('74',)",3772684231.31,14,3.49835991859,3779218470.46,3779218541.79,3772684231.31,0.0,internal_timestamp,65.3099975586,1563695431.31,33.8611984253,0,7.78299999237,1026.7134994,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('75',)",3772684231.37,14,3.49835991859,3779218470.46,3779218541.79,3772684231.37,0.0,internal_timestamp,65.3099975586,1563695431.37,33.8611984253,0,7.78299999237,1026.7134994,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('76',)",3772684231.43,14,3.49835991859,3779218470.46,3779218541.79,3772684231.43,0.0,internal_timestamp,65.3079986572,1563695431.43,33.8611984253,0,7.78299999237,1026.71349022,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
